"Character-A";"Character-B";"Interaction-type"
"Joseph Joestar";"Suzi Q";"Couple"
"Joseph Joestar";"Kars";"Enemies"
"Joseph Joestar";"Wamuu";"Enemies"
"Joseph Joestar";"Esidisi";"Enemies"
"Joseph Joestar";"Santana";"Enemies"
"Joseph Joestar";"Caesar Zeppeli";"Friend"
"Joseph Joestar";"Straizo";"Enemies"
"Joseph Joestar";"Roberto E. O. Speedwagon";"Friend"
"Joseph Joestar";"Dio Brando";"Enemies"
"Joseph Joestar";"Lisa Lisa";"Mother-Son"
"Joseph Joestar";"George Joestar I";"Father-Son"
"Lisa Lisa";"Straizo";"Adopted"
"Lisa Lisa";"George Joestar I";"Couple"
"Wamuu";"Kars";"Servant"
"Wamuu";"Santana";"Ally"
"Kars";"Santana";"Ally"
"Kars";"Esidisi";"Ally"
"Will A. Zeppeli";"Caesar Zeppeli";"Father-Son"
"Smokey Brown";"Joseph Joestar"; "Friend"
"Rudol von Strohelm";"Joseph Joestar"; "Ally"
"Rudol von Strohelm";"Roberto E. O. Speedwagon";"Ally"
"Will A. Zeppeli";"Straizo";"Co-monks"
"Jonathan Joestar";"Joseph Joestar";"Father-Son"
